business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
c9AJXcIVPFIoZEXIRUA1pQ,The Rock  A Christian Church,36,8:0-17:0,-115.2374346,35.992321
A_LQQRX0nGr7mSxuovXgzQ,Canyon Ridge Christian Church,46,8:0-17:0,-115.2270586,36.2473112
ZL_Xpue6CcyaHG7bsOPqng,Southern Hills Baptist Church,38,0:0-23:0,-115.2330677,36.02729
btiYZMEOwXRD806kQXEYAg,Life Baptist Church,27,8:30-17:0,-115.2510431,36.0726888
1EuqKW-JC-Fm3RSWRqKdrg,Life Springs Christian Church,15,8:0-17:0,-115.1236678,36.0564011
LnCNoBfyLQVdk8CLj6ra4w,Hope Church,33,9:0-17:0,-115.145204121,35.9997183166
cP2aaDaMFlhZNnx5KR4Y1w,The Rock  A Christian Church,35,8:0-17:0,-115.244736671,36.051493058
YSz8a6PJSjcxV8q5isS4Rg,Liberty Baptist Church,17,8:0-17:0,-115.236890923,36.1953606271
IbuNed_ZQqimGQyJ9B4WoA,The Crossing Christian Church,46,8:0-17:0,-115.2644551,36.0418432
1AdIZu9j2lTl8tUy2neDDQ,St Thomas Aquinas Catholic Newman Community,13,10:0-19:0,-115.139551,36.10343
2QyprNEv-eczMqU7gnzFfQ,Vegas Simple Wedding Chapel,51,0:0-23:0,-115.1448239,36.167029
1sOOSqGIeLs7vp8G5SY8pQ,Valley Bible Fellowship,38,9:0-17:0,-115.2015687,36.1453601
ErPV2co7rEOUGKXUAQV4jQ,Word Of Life Christian Center,11,8:0-17:0,-115.2598246,36.2243299
aUc1gQmIwv1sQKt2u4AWPA,St Joseph Husband of Mary Roman Catholic Church,27,8:0-17:0,-115.2515106,36.1442895
gBDAgyz_OxfR5hhPxkMuzQ,Church of Scientology,10,9:0-22:30,-115.1123721,36.1251437
